event_id,user_id,event_date,country,subscription_plan,device_type,traffic_source,event_type,session_duration_mins,monthly_revenue,customer_support_tickets
E50048,U10762,2023-01-21,UK,Free,Mobile,Email,Downgrade,148,$324.93,2
E50049,U10122,2023-12-02,UK,Free,Desktop,Referral,Upgrade,116,$269.7,3
E50050,U10160,2023-05-06,USA,Free,Desktop,Organic,Login,72,$94.61,1
E50051,U11136,2024-01-02,UK,Enterprise,Tablet,Ads,Feature_Use,140,$399.59,2
E50052,U11087,2024-03-27,Australia,Free,Desktop,Ads,Downgrade,166,$226.34,1
E50053,U10409,2024-02-26,India,Pro,Desktop,Email,Upgrade,97,$118.91,1
E50054,U10181,2023-06-11,UK,Basic,Tablet,Email,Upgrade,161,$480.84,2
E50055,U10510,2023-09-11,UK,Basic,Desktop,Referral,Churn,176,$77.44,1
E50056,U10121,2024-06-08,UK,Basic,Tablet,Email,Login,4,$219.78,1
E50057,U10583,2023-01-14,Germany,Basic,Tablet,Referral,Upgrade,6,$114.57,0
E50058,U10033,2024-06-14,Canada,Basic,Desktop,Ads,Feature_Use,11,$159.0,1
E50059,U10008,2023-09-15,UK,Free,Mobile,Ads,Login,129,$418.21,0
E50060,U10615,2023-09-11,Canada,Basic,Desktop,Organic,Login,57,$229.6,3
E50061,U10990,2023-10-17,USA,Free,Mobile,Referral,Login,115,$257.23,1
E50062,U10792,2023-10-18,UK,Basic,Tablet,Organic,Upgrade,23,$376.5,0
E50063,U10638,2023-12-30,Canada,Basic,Desktop,Referral,Login,71,$81.22,1
E50064,U10619,2023-06-05,Germany,Enterprise,Tablet,Email,Feature_Use,155,$284.83,1
E50065,U11088,2023-03-21,UK,Basic,Tablet,Email,Feature_Use,62,$340.7,2
E50066,U11177,2024-08-15,Australia,Basic,Desktop,Email,Feature_Use,41,$436.0,2
E50067,U10935,2023-11-26,Germany,Free,Tablet,Ads,Login,82,$321.72,3
E50068,U10005,2023-08-13,Canada,Basic,Tablet,Email,Login,120,$283.12,2
E50069,U10757,2023-05-30,Canada,Enterprise,Mobile,Organic,Churn,33,$455.52,1
E50070,U10644,2024-07-14,Germany,Basic,Tablet,Referral,Login,148,$312.25,1
E50071,U11074,2023-06-26,UK,Free,Mobile,Ads,Login,175,$323.74,1
E50072,U10825,2024-08-09,Canada,Enterprise,Tablet,Organic,Feature_Use,8,$2.57,2
E50073,U10881,2024-03-13,Australia,Enterprise,Mobile,Email,Feature_Use,15,$472.32,3
E50074,U10307,2024-01-03,USA,Pro,Tablet,Email,Login,31,$378.35,2
E50075,U10001,2023-06-26,USA,Free,Tablet,Organic,Login,99,$494.78,1
E50076,U11185,2024-04-22,Canada,Pro,Mobile,Email,Login,65,$333.83,3
E50077,U10758,2023-03-15,Canada,Free,Tablet,Organic,Login,10,$62.31,1
E50078,U10799,2024-07-16,UK,Free,Mobile,Organic,Feature_Use,138,$54.57,0
E50079,U10706,2024-07-11,Australia,Basic,Tablet,Referral,Login,67,$463.55,3
E50080,U10342,2024-02-16,Australia,Free,Desktop,Email,Login,50,$261.9,2
E50081,U10345,2023-12-18,USA,Free,Desktop,Email,Feature_Use,28,$87.26,3
E50082,U10510,2024-07-31,USA,Basic,Tablet,Email,Upgrade,36,$468.4,2
E50083,U10067,2023-06-08,USA,Pro,Mobile,Organic,Login,24,$499.21,0
E50084,U10513,2024-07-17,USA,Free,Desktop,Referral,Login,179,$137.72,1
E50085,U10577,2024-02-19,Australia,Basic,Mobile,Organic,Login,110,$284.27,2
E50086,U10207,2023-09-27,Canada,Free,Tablet,Email,Churn,6,$140.91,0
E50087,U10161,2023-03-02,India,Free,Mobile,Referral,Downgrade,88,$300.28,2
E50088,U10049,2023-10-18,India,Pro,Desktop,Email,Login,39,$76.42,1
E50089,U10545,2023-01-03,Australia,Free,Mobile,Ads,Login,161,$26.06,0
E50090,U10267,2024-02-02,Germany,Free,Desktop,Email,Churn,72,$149.65,1
E50091,U10246,2024-01-14,Australia,Basic,Tablet,Referral,Login,106,$65.87,2
E50092,U10757,2023-11-01,USA,Basic,Mobile,Ads,Login,154,$382.96,0
E50093,U10741,2023-04-03,Australia,Pro,Mobile,Organic,Upgrade,49,$209.93,0
E50094,U10420,2024-02-23,India,Basic,Mobile,Email,Feature_Use,84,$465.67,0
E50095,U10470,2024-03-21,India,Free,Mobile,Referral,Downgrade,100,$202.84,3
E50096,U10125,2023-11-30,UK,Free,Tablet,Ads,Feature_Use,140,$212.67,1
E50097,U11105,2023-02-07,UK,Pro,Desktop,Organic,Feature_Use,29,$367.3,0
E50098,U10107,2024-05-08,Germany,Pro,Mobile,Ads,Login,124,$90.99,2
E50099,U10497,2023-03-03,Canada,Free,Desktop,Ads,Login,83,$26.37,0
E50100,U10892,2023-01-22,USA,Enterprise,Mobile,Ads,Upgrade,6,$177.34,3
E50101,U10606,2023-05-18,India,Free,Mobile,Email,Login,138,$204.22,3
E50102,U11062,2023-09-05,India,Basic,Desktop,Organic,Feature_Use,79,$198.84,3
E50103,U10408,2023-03-26,UK,Basic,Desktop,Referral,Churn,143,$122.44,2
E50104,U10705,2024-03-25,Germany,Free,Tablet,Organic,Login,164,$218.53,1
E50105,U10297,2023-02-27,Germany,Free,Desktop,Referral,Login,15,$146.23,0
E50106,U10769,2023-12-17,Germany,Basic,Tablet,Ads,Login,138,$361.91,1
E50107,U11104,2023-08-19,UK,Free,Desktop,Email,Login,44,$23.51,3
E50108,U11144,2024-06-20,Australia,Free,Desktop,Ads,Feature_Use,53,$52.41,5
E50109,U10419,2023-05-06,Germany,Free,Mobile,Organic,Login,166,$488.53,2
E50110,U11034,2023-12-29,India,Free,Desktop,Email,Churn,109,$489.39,0
E50111,U10329,2024-07-15,Germany,Basic,Desktop,Email,Login,84,$475.87,0
E50112,U10580,2023-01-07,UK,Pro,Tablet,Referral,Churn,149,$428.04,1
E50113,U10144,2024-05-24,Germany,Enterprise,Desktop,Email,Feature_Use,136,$473.26,0
E50114,U10546,2024-01-13,Canada,Basic,Tablet,Referral,Feature_Use,47,$76.09,2
E50115,U11065,2023-04-06,Germany,Free,Desktop,Email,Login,143,$480.51,1
E50116,U11024,2024-05-26,Australia,Pro,Mobile,Email,Login,116,$245.97,2
E50117,U10670,2023-02-26,UK,Free,Mobile,Ads,Login,31,$78.99,1
E50118,U10974,2024-02-12,Canada,Enterprise,Mobile,Email,Login,45,$50.93,0
E50119,U11025,2023-11-08,UK,Basic,Tablet,Referral,Feature_Use,111,$199.36,2
E50120,U10334,2024-03-20,UK,Free,Tablet,Email,Churn,145,$407.95,1
E50121,U10705,2023-03-19,USA,Pro,Tablet,Ads,Login,17,$88.34,1
E50122,U11060,2023-07-24,India,Free,Tablet,Referral,Login,127,$156.16,1
E50123,U10630,2024-03-17,USA,Free,Desktop,Organic,Feature_Use,26,$360.1,1
E50124,U10888,2024-02-16,USA,Free,Desktop,Ads,Upgrade,154,$176.53,1
E50125,U10259,2023-08-19,USA,Free,Tablet,Ads,Login,6,$278.66,1
E50126,U10672,2024-02-12,Australia,Free,Desktop,Organic,Churn,58,$148.15,1
E50127,U10181,2023-11-20,USA,Free,Mobile,Email,Feature_Use,126,$172.1,3
E50128,U10355,2024-04-02,USA,Basic,Tablet,Organic,Churn,135,$120.83,1
E50129,U11118,2024-01-01,India,Free,Desktop,Email,Feature_Use,167,$157.88,1
E50130,U10477,2024-08-10,Canada,Free,Desktop,Referral,Feature_Use,138,$187.28,5
E50131,U11175,2023-08-19,Germany,Pro,Desktop,Ads,Login,109,$28.22,1
E50132,U10299,2023-06-10,India,Free,Desktop,Email,Feature_Use,119,$20.03,0
E50133,U10935,2024-02-09,Canada,Pro,Mobile,Referral,Login,174,$201.4,1
E50134,U10869,2023-12-02,Australia,Free,Tablet,Organic,Feature_Use,153,$82.54,3
E50135,U10908,2024-03-13,India,Free,Desktop,Email,Login,89,$186.93,0
E50136,U10226,2024-07-23,India,Free,Desktop,Ads,Login,123,$450.24,0
E50137,U10210,2024-03-24,USA,Enterprise,Tablet,Organic,Upgrade,143,$357.23,1
E50138,U11114,2023-01-08,Canada,Pro,Mobile,Ads,Upgrade,14,$46.8,0
E50139,U10304,2024-08-15,UK,Basic,Tablet,Email,Downgrade,151,$276.61,1
E50140,U10975,2024-01-16,India,Free,Desktop,Referral,Feature_Use,146,$99.35,2
E50141,U10114,2023-12-16,India,Free,Tablet,Referral,Upgrade,81,$494.43,3
E50142,U10886,2023-12-06,Australia,Basic,Tablet,Email,Upgrade,35,$247.39,2
E50143,U10742,2023-11-20,Canada,Free,Desktop,Referral,Feature_Use,102,$175.13,1
E50144,U10154,2023-02-10,Australia,Basic,Tablet,Organic,Downgrade,136,$330.67,0
E50145,U10268,2023-10-03,Australia,Enterprise,Mobile,Email,Churn,125,$9.47,2
E50146,U10833,2023-07-18,India,Pro,Tablet,Ads,Login,116,$54.24,3
E50147,U10822,2023-11-13,Australia,Basic,Desktop,Organic,Feature_Use,1,$2.59,4
E50148,U10202,2023-02-02,Germany,Free,Tablet,Organic,Login,113,$459.57,2
E50149,U10238,2024-04-09,USA,Basic,Tablet,Ads,Login,29,$177.32,2
E50150,U11002,2024-05-22,USA,Pro,Mobile,Ads,Login,18,$484.07,3
E50151,U10305,2023-02-08,Australia,Pro,Mobile,Email,Feature_Use,102,$449.45,1
E50152,U10790,2024-07-17,Canada,Basic,Desktop,Referral,Feature_Use,97,$116.72,1
E50153,U10907,2023-02-28,Australia,Basic,Desktop,Ads,Login,74,$323.4,0
E50154,U10483,2023-05-16,USA,Free,Tablet,Ads,Login,145,$85.04,1
E50155,U10354,2023-12-19,Canada,Basic,Mobile,Ads,Upgrade,172,$334.93,1
E50156,U10167,2024-06-23,Australia,Pro,Mobile,Organic,Login,148,$430.01,3
E50157,U10000,2023-08-02,Australia,Enterprise,Desktop,Ads,Login,128,$424.93,1
E50158,U10250,2024-04-01,India,Pro,Tablet,Ads,Login,52,$122.99,1
E50159,U10612,2023-08-01,Canada,Pro,Desktop,Email,Login,106,$223.48,2
E50160,U10299,2024-06-17,Australia,Pro,Mobile,Referral,Feature_Use,12,$217.43,2
E50161,U10493,2023-12-30,India,Pro,Mobile,Referral,Feature_Use,143,$323.81,1
E50162,U10781,2024-07-27,Germany,Free,Mobile,Organic,Feature_Use,63,$232.39,0
E50163,U10591,2023-04-12,UK,Pro,Mobile,Organic,Churn,46,$417.53,3
E50164,U10514,2024-05-15,Australia,Pro,Tablet,Email,Feature_Use,22,$205.33,0
E50165,U10120,2023-08-02,USA,Free,Mobile,Ads,Feature_Use,85,$276.62,1
E50166,U11019,2024-03-17,UK,Free,Desktop,Organic,Login,77,$219.5,1
E50167,U10796,2023-04-15,India,Free,Desktop,Referral,Feature_Use,148,$366.26,0
E50168,U10365,2023-07-28,Australia,Basic,Tablet,Email,Feature_Use,121,$208.29,1
E50169,U10855,2023-06-22,Canada,Enterprise,Mobile,Organic,Churn,157,$80.81,3
E50170,U10474,2024-04-28,UK,Basic,Desktop,Email,Login,81,$365.04,4
E50171,U10592,2024-04-23,India,Basic,Desktop,Email,Feature_Use,51,$474.32,0
E50172,U10501,2024-01-09,USA,Free,Tablet,Organic,Churn,128,$230.39,1
E50173,U10078,2023-11-25,USA,Basic,Desktop,Referral,Downgrade,145,$372.43,1
E50174,U10111,2023-12-08,Canada,Basic,Mobile,Ads,Login,80,$437.85,2
E50175,U10543,2023-06-02,Germany,Enterprise,Desktop,Organic,Login,85,$18.89,2
E50176,U10372,2023-04-04,India,Basic,Tablet,Organic,Upgrade,155,$442.26,1
E50177,U10150,2024-08-04,UK,Pro,Mobile,Email,Feature_Use,82,$364.68,1
E50178,U10192,2024-04-16,Canada,Basic,Mobile,Ads,Feature_Use,95,$289.88,0
E50179,U10017,2024-01-19,USA,Enterprise,Desktop,Organic,Login,51,$303.4,1
E50180,U10197,2023-11-09,Australia,Basic,Mobile,Ads,Login,57,$28.81,2
E50181,U10214,2024-04-13,Germany,Free,Tablet,Organic,Feature_Use,139,$381.35,1
E50182,U11045,2023-06-05,Canada,Basic,Desktop,Email,Upgrade,146,$81.79,2
E50183,U10586,2023-04-23,Australia,Free,Desktop,Referral,Login,137,$405.96,2
E50184,U10361,2023-02-15,Canada,Basic,Mobile,Ads,Feature_Use,115,$499.14,1
E50185,U10461,2023-08-30,USA,Basic,Desktop,Organic,Upgrade,128,$278.3,1
E50186,U11004,2023-10-23,Australia,Basic,Mobile,Ads,Login,9,$71.08,2
E50187,U10491,2023-04-05,Australia,Pro,Desktop,Organic,Downgrade,25,$327.16,3
E50188,U10295,2023-11-11,USA,Free,Tablet,Email,Login,67,$231.04,1
E50189,U11097,2023-03-01,India,Basic,Mobile,Email,Login,178,$93.7,4
E50190,U10377,2023-07-21,UK,Free,Mobile,Email,Feature_Use,44,$341.25,3
E50191,U10288,2023-10-13,India,Pro,Tablet,Referral,Churn,93,$458.59,0
E50192,U10914,2024-06-24,Australia,Enterprise,Tablet,Organic,Login,179,$472.37,4
E50193,U11086,2023-06-17,Australia,Free,Desktop,Ads,Churn,68,$427.04,4
E50194,U10056,2023-03-10,Germany,Basic,Desktop,Referral,Login,171,$277.49,2
E50195,U11198,2023-09-06,USA,Enterprise,Tablet,Referral,Feature_Use,46,$275.82,2
E50196,U10613,2023-09-17,India,Free,Mobile,Ads,Feature_Use,47,$128.55,3
E50197,U10922,2024-02-02,Canada,Basic,Tablet,Referral,Login,84,$227.14,4
E50198,U10897,2024-06-14,India,Pro,Mobile,Organic,Downgrade,143,$266.85,4
E50199,U10856,2024-03-02,Canada,Free,Desktop,Email,Downgrade,23,$210.77,1
E50200,U10203,2023-10-23,India,Basic,Tablet,Referral,Login,119,$474.5,0
E50201,U11109,2024-03-08,UK,Free,Desktop,Email,Login,107,$115.15,2
E50202,U10111,2023-04-23,Australia,Free,Mobile,Referral,Feature_Use,28,$41.26,2
E50203,U10760,2024-08-10,USA,Enterprise,Mobile,Organic,Upgrade,24,$177.5,2
E50204,U10226,2024-01-10,Canada,Free,Mobile,Email,Login,61,$244.56,1
E50205,U11099,2023-02-19,Canada,Free,Mobile,Organic,Login,36,$253.53,1
E50206,U10389,2023-09-30,UK,Pro,Tablet,Organic,Login,75,$63.44,2
E50207,U11153,2024-02-27,USA,Basic,Desktop,Organic,Upgrade,112,$232.36,4
E50208,U10696,2024-01-01,India,Free,Tablet,Ads,Upgrade,98,$456.51,2
E50209,U10327,2024-04-15,Germany,Free,Desktop,Ads,Login,98,$228.89,2
E50210,U10999,2024-04-09,Germany,Pro,Tablet,Organic,Feature_Use,38,$395.06,0
E50211,U10973,2023-10-12,USA,Basic,Desktop,Organic,Feature_Use,109,$27.12,1
E50212,U10220,2024-01-18,India,Basic,Tablet,Organic,Churn,129,$415.67,1
E50213,U11027,2024-02-26,Canada,Free,Desktop,Referral,Feature_Use,132,$82.21,1
E50214,U10440,2024-06-26,USA,Free,Mobile,Email,Downgrade,46,$357.22,1
E50215,U10936,2023-12-04,India,Pro,Desktop,Referral,Upgrade,164,$292.71,5
E50216,U10704,2023-08-10,Canada,Pro,Desktop,Email,Login,139,$229.44,1
E50217,U10753,2024-01-24,Australia,Free,Tablet,Referral,Login,36,$448.26,0
E50218,U10636,2024-06-22,India,Basic,Tablet,Ads,Upgrade,19,$198.93,4
E50219,U10636,2024-07-19,Germany,Free,Tablet,Organic,Login,105,$104.15,0
E50220,U11078,2023-08-04,Australia,Pro,Desktop,Ads,Login,13,$37.25,0
E50221,U10899,2024-06-04,USA,Basic,Mobile,Referral,Feature_Use,109,$202.53,0
E50222,U10121,2023-07-07,Canada,Basic,Desktop,Referral,Feature_Use,105,$199.39,0
E50223,U10924,2023-02-04,India,Free,Tablet,Referral,Churn,153,$410.72,2
E50224,U11097,2023-06-30,India,Basic,Mobile,Ads,Upgrade,55,$429.62,1
E50225,U11169,2024-05-13,Germany,Basic,Tablet,Email,Login,57,$19.87,1
E50226,U10257,2023-04-08,Canada,Basic,Desktop,Organic,Feature_Use,34,$16.89,1
E50227,U10743,2024-04-21,USA,Free,Desktop,Ads,Login,108,$238.55,4
E50228,U10305,2024-07-22,Germany,Free,Tablet,Organic,Upgrade,61,$331.91,1
E50229,U10030,2023-03-27,Australia,Free,Tablet,Referral,Upgrade,107,$446.77,1
E50230,U10294,2023-08-06,Germany,Pro,Desktop,Ads,Login,13,$209.17,1
E50231,U10339,2023-11-03,India,Pro,Mobile,Email,Feature_Use,138,$447.5,0
E50232,U10609,2024-03-08,USA,Free,Mobile,Organic,Login,90,$86.3,0
E50233,U10817,2024-04-29,Germany,Free,Mobile,Organic,Login,142,$130.27,3
E50234,U10530,2024-03-22,Germany,Enterprise,Desktop,Organic,Login,56,$282.33,0
E50235,U10572,2024-02-24,Australia,Basic,Tablet,Email,Churn,175,$188.42,2
E50236,U10185,2023-04-16,Canada,Basic,Mobile,Organic,Login,176,$126.99,0
E50237,U10095,2024-03-10,USA,Basic,Mobile,Ads,Feature_Use,34,$208.99,0
E50238,U10922,2023-05-02,Canada,Free,Tablet,Referral,Login,132,$139.88,2
E50239,U11045,2023-03-25,India,Free,Tablet,Email,Login,157,$135.83,2
E50240,U10236,2023-03-19,Australia,Basic,Tablet,Referral,Churn,1,$203.45,3
E50241,U10314,2024-04-04,USA,Pro,Desktop,Referral,Upgrade,89,$220.82,3
E50242,U11175,2023-01-06,UK,Pro,Desktop,Email,Feature_Use,49,$37.77,0
E50243,U10759,2023-05-18,Australia,Pro,Mobile,Organic,Feature_Use,48,$353.67,1
E50244,U10034,2023-07-07,Australia,Pro,Tablet,Ads,Login,105,$359.04,2
E50245,U10531,2023-03-20,Canada,Basic,Tablet,Email,Upgrade,11,$105.84,0
E50246,U10588,2023-06-22,USA,Pro,Mobile,Referral,Churn,119,$347.69,1
E50247,U10197,2024-01-06,UK,Free,Desktop,Referral,Upgrade,120,$224.95,5
E50248,U10343,2023-05-06,USA,Free,Tablet,Ads,Churn,115,$491.66,2
E50249,U10161,2024-03-18,USA,Pro,Tablet,Referral,Churn,45,$468.0,0
E50250,U11056,2023-04-09,UK,Basic,Desktop,Email,Churn,66,$246.03,0
E50251,U10475,2024-07-04,Australia,Basic,Desktop,Ads,Feature_Use,117,$438.12,1
E50252,U10886,2023-04-05,Germany,Free,Desktop,Referral,Churn,170,$297.7,1
E50253,U10399,2023-05-20,Canada,Free,Tablet,Ads,Downgrade,45,$166.5,3
E50254,U10354,2023-09-05,Australia,Free,Desktop,Organic,Login,137,$463.58,3
E50255,U10694,2023-11-15,India,Pro,Desktop,Referral,Feature_Use,117,$312.42,3
E50256,U10364,2024-04-07,Australia,Basic,Mobile,Ads,Churn,50,$424.69,1
E50257,U10634,2024-06-09,UK,Pro,Desktop,Ads,Login,2,$331.08,4
E50258,U10163,2023-02-27,Germany,Pro,Desktop,Email,Login,81,$198.73,1
E50259,U10741,2023-10-10,Canada,Basic,Tablet,Ads,Feature_Use,172,$163.6,1
E50260,U10024,2024-02-03,India,Basic,Desktop,Organic,Login,20,$365.18,4
E50261,U11087,2023-05-07,Germany,Pro,Mobile,Ads,Login,166,$230.67,2
E50262,U10568,2024-01-06,Germany,Pro,Mobile,Email,Feature_Use,172,$455.33,4
E50263,U10774,2023-08-31,India,Free,Mobile,Email,Login,70,$306.21,1
E50264,U10752,2024-05-20,UK,Free,Tablet,Email,Upgrade,138,$221.47,0
E50265,U10105,2024-08-04,Germany,Pro,Desktop,Referral,Feature_Use,165,$50.92,1
E50266,U10437,2023-12-04,Canada,Free,Mobile,Email,Login,122,$128.73,1
E50267,U10856,2023-06-22,USA,Free,Mobile,Organic,Login,39,$53.12,3
E50268,U10593,2023-04-25,Germany,Free,Mobile,Referral,Login,172,$456.07,2
E50269,U10730,2024-01-11,Germany,Pro,Mobile,Referral,Feature_Use,45,$294.76,2
E50270,U10765,2023-11-18,Australia,Free,Desktop,Ads,Login,66,$324.11,0
E50271,U10763,2023-09-13,India,Basic,Tablet,Organic,Login,22,$441.49,3
E50272,U10150,2023-07-28,UK,Enterprise,Mobile,Email,Login,23,$195.23,0
E50273,U10253,2023-11-18,Germany,Free,Mobile,Referral,Login,147,$443.65,2
E50274,U10647,2024-03-26,UK,Free,Mobile,Ads,Downgrade,35,$493.24,4
E50275,U10543,2023-10-07,India,Free,Mobile,Referral,Login,168,$286.19,2
E50276,U10883,2023-02-02,India,Basic,Mobile,Ads,Login,93,$382.31,1
E50277,U10782,2024-03-26,USA,Basic,Desktop,Organic,Login,85,$441.91,1
E50278,U10941,2023-09-26,Germany,Basic,Tablet,Organic,Login,105,$252.48,2
E50279,U11012,2023-07-30,UK,Basic,Mobile,Organic,Login,75,$108.47,0
E50280,U10228,2024-04-18,Australia,Enterprise,Desktop,Referral,Feature_Use,161,$21.41,1
E50281,U10472,2023-11-06,India,Enterprise,Desktop,Ads,Login,40,$305.42,1
E50282,U10473,2023-08-01,USA,Free,Desktop,Organic,Login,94,$22.04,2
E50283,U10080,2023-09-10,UK,Basic,Desktop,Referral,Feature_Use,90,$402.43,1
E50284,U10707,2024-05-17,Australia,Basic,Mobile,Organic,Feature_Use,62,$398.71,0
E50285,U10048,2024-04-18,USA,Basic,Tablet,Email,Downgrade,150,$201.97,1
E50286,U10747,2023-06-05,UK,Free,Tablet,Organic,Login,174,$413.92,3
E50287,U10955,2024-04-18,Australia,Pro,Tablet,Referral,Login,8,$474.63,1
E50288,U10764,2023-05-30,UK,Free,Mobile,Ads,Feature_Use,120,$278.63,3
E50289,U10489,2023-01-28,UK,Basic,Mobile,Referral,Feature_Use,15,$265.17,4
E50290,U10604,2023-01-05,Australia,Basic,Tablet,Organic,Login,158,$447.24,2
E50291,U10288,2023-05-19,India,Enterprise,Desktop,Organic,Login,130,$338.38,2
E50292,U11146,2023-08-19,India,Free,Tablet,Organic,Upgrade,4,$478.53,0
E50293,U10177,2024-02-03,Australia,Free,Tablet,Email,Feature_Use,105,$334.77,2
E50294,U11110,2023-06-07,USA,Basic,Mobile,Email,Feature_Use,179,$92.23,2
E50295,U10584,2023-09-12,Australia,Free,Tablet,Organic,Feature_Use,102,$349.39,1
E50296,U10074,2024-08-22,Canada,Basic,Desktop,Referral,Login,81,$290.06,2
E50297,U10543,2023-10-22,Australia,Free,Mobile,Referral,Login,26,$31.94,0
E50298,U10413,2024-08-17,Australia,Free,Desktop,Organic,Feature_Use,111,$380.75,4
E50299,U10538,2024-06-14,UK,Free,Desktop,Email,Churn,18,$327.05,2
E50300,U10011,2023-09-03,India,Free,Tablet,Email,Churn,86,$2.49,2
E50301,U10878,2023-05-23,Germany,Basic,Tablet,Referral,Feature_Use,39,$37.29,1
E50302,U10925,2024-04-19,Germany,Basic,Mobile,Email,Login,118,$5.41,2
E50303,U10059,2023-12-05,Canada,Free,Tablet,Ads,Upgrade,45,$491.19,1
E50304,U10703,2024-02-23,India,Basic,Mobile,Ads,Feature_Use,165,$7.19,2
E50305,U11123,2023-12-15,UK,Free,Tablet,Ads,Login,80,$236.75,3
E50306,U10359,2023-10-09,USA,Basic,Mobile,Email,Feature_Use,69,$136.96,0
E50307,U10489,2023-06-04,India,Basic,Mobile,Ads,Feature_Use,164,$347.26,0
E50308,U10559,2023-07-23,USA,Pro,Desktop,Referral,Login,126,$66.81,0
E50309,U10818,2023-04-28,USA,Enterprise,Tablet,Email,Feature_Use,43,$317.24,1
E50310,U11191,2023-11-09,UK,Free,Desktop,Email,Login,66,$151.33,0
E50311,U10143,2023-03-13,USA,Free,Mobile,Organic,Login,21,$269.46,2
