Customer_ID,Age,Tenure,ServicePlan,PaymentMethod,MonthlyUsage,SupportCalls,Churn
58,24,66,Basic,CreditCard,110,2,1
59,61,25,Basic,CreditCard,79,2,1
60,25,71,Standard,BankTransfer,,8,0
61,64,11,Premium,Cash,66,9,1
62,52,36,Standard,CreditCard,139,0,1
63,31,49,Basic,BankTransfer,114,8,1
64,34,48,Standard,CreditCard,91,7,1
65,53,7,Basic,CreditCard,59,0,0
66,67,51,Basic,BankTransfer,154,7,1
67,57,17,Basic,CreditCard,215,3,0
68,21,32,Basic,CreditCard,99,5,1
69,19,26,Standard,CreditCard,179,7,0
70,23,22,Basic,CreditCard,,0,1
71,59,13,Standard,CreditCard,175,3,0
72,21,12,Standard,BankTransfer,151,1,0
73,46,71,Premium,BankTransfer,196,0,1
74,35,1,Standard,CreditCard,164,3,0
75,43,33,Premium,CreditCard,273,2,0
76,61,14,Premium,Cash,96,8,0
77,51,64,Premium,BankTransfer,242,0,1
78,27,43,Standard,CreditCard,212,5,0
79,53,58,Premium,Cash,142,3,0
80,31,41,Basic,BankTransfer,,3,1
81,48,68,Standard,Cash,256,2,1
82,65,39,Basic,Cash,259,1,1
83,32,1,Standard,CreditCard,252,3,0
84,25,41,Premium,CreditCard,289,6,1
85,31,45,Premium,BankTransfer,210,6,1
86,40,13,Standard,Cash,215,0,0
87,57,71,Premium,Cash,146,9,1
88,38,9,Basic,CreditCard,206,2,0
89,33,63,Basic,BankTransfer,100,3,0
90,62,23,Premium,CreditCard,,2,0
91,35,54,Standard,BankTransfer,146,5,1
92,64,47,Standard,Cash,70,6,1
93,41,39,Basic,BankTransfer,81,3,0
94,43,26,Premium,Cash,290,6,1
95,42,1,Premium,BankTransfer,136,5,0
96,62,14,Basic,CreditCard,208,0,1
97,58,65,Standard,CreditCard,292,0,1
98,46,69,Premium,CreditCard,252,3,1
99,32,67,Standard,BankTransfer,160,6,1
100,62,49,Standard,Cash,,3,0
101,18,50,Basic,CreditCard,67,6,0
102,42,58,Standard,BankTransfer,45,5,0
103,24,53,Basic,BankTransfer,262,3,1
104,26,57,Premium,CreditCard,211,?,0
105,41,18,Standard,CreditCard,248,7,1
106,18,16,Basic,CreditCard,177,0,1
107,61,2,Basic,CreditCard,120,6,0
108,25,13,Standard,BankTransfer,222,0,0
109,41,45,Basic,Cash,176,5,1
110,28,43,Premium,Cash,,6,1
111,68,54,Standard,BankTransfer,100,5,0
112,34,31,Premium,Cash,43,3,0
113,25,9,Basic,BankTransfer,99,7,0
114,52,48,Premium,BankTransfer,24,7,1
115,52,18,Basic,BankTransfer,79,1,0
116,50,11,Basic,Cash,226,0,0
117,22,62,Premium,BankTransfer,80,7,0
118,59,19,Standard,BankTransfer,139,6,1
119,56,24,Standard,CreditCard,138,9,0
120,58,13,Standard,CreditCard,,1,1
121,45,46,Premium,Cash,191,4,1
122,24,53,Premium,CreditCard,134,4,0
123,26,29,Premium,CreditCard,119,6,1
124,25,36,Premium,CreditCard,243,1,0
125,29,71,Standard,BankTransfer,173,8,1
126,51,17,Standard,CreditCard,37,8,0
127,50,48,Basic,Cash,224,4,1
128,65,24,Premium,BankTransfer,112,1,1
129,40,54,Standard,Cash,174,6,0
130,41,1,Standard,Cash,,3,0
131,54,67,Standard,Cash,53,2,0
132,52,6,Standard,Cash,149,6,0
133,61,55,Standard,Cash,41,6,1
134,57,38,Standard,CreditCard,258,0,0
135,39,33,Premium,CreditCard,40,6,1
136,44,8,Basic,Cash,27,9,0
137,52,20,Basic,Cash,166,4,0
138,18,55,Premium,CreditCard,235,6,1
139,52,48,Standard,Cash,100,7,1
140,54,56,Premium,CreditCard,,9,1
141,64,10,Standard,Cash,29,6,0
142,31,52,Standard,Cash,168,9,0
143,20,50,Standard,BankTransfer,40,1,0
144,18,34,Standard,Cash,195,3,1
145,22,36,Standard,BankTransfer,233,5,0
146,43,61,Premium,Cash,277,8,1
147,31,16,Premium,BankTransfer,52,4,0
148,56,18,Basic,CreditCard,58,1,0
149,44,71,Standard,Cash,207,3,0
150,26,47,Premium,CreditCard,,7,0
151,32,32,Premium,BankTransfer,239,3,0
152,32,43,Standard,BankTransfer,24,7,0
153,43,40,Standard,BankTransfer,277,3,1
154,59,65,Premium,BankTransfer,242,7,0
155,30,35,Standard,CreditCard,248,2,1
156,68,69,Premium,BankTransfer,163,3,1
157,49,50,Basic,Cash,86,9,0
158,56,12,Standard,BankTransfer,242,8,1
159,66,58,Basic,CreditCard,180,4,0
160,69,63,Basic,CreditCard,,2,1
161,49,49,Basic,Cash,244,2,0
162,21,36,Standard,CreditCard,282,3,0
163,47,54,Basic,BankTransfer,34,1,0
164,54,47,Premium,Cash,254,6,1
165,40,32,Premium,Cash,255,6,1
166,56,53,Standard,CreditCard,46,8,1
167,62,32,Standard,Cash,287,7,1
168,32,62,Basic,BankTransfer,218,2,1
169,60,37,Standard,BankTransfer,13,4,0
170,46,38,Premium,CreditCard,,7,0
171,53,30,Premium,BankTransfer,181,7,0
172,30,58,Premium,BankTransfer,282,1,1
173,49,32,Standard,CreditCard,239,0,0
174,24,66,Premium,BankTransfer,155,4,1
175,68,51,Standard,CreditCard,284,0,1
176,39,11,Basic,CreditCard,66,6,0
177,45,59,Premium,CreditCard,156,7,1
178,19,20,Basic,Cash,46,5,1
179,59,37,Premium,BankTransfer,67,2,1
180,62,49,Premium,BankTransfer,,9,1
181,23,19,Premium,BankTransfer,41,0,1
182,45,55,Basic,CreditCard,98,1,0
183,45,40,Premium,CreditCard,231,1,0
184,61,7,Basic,BankTransfer,60,9,0
185,61,5,Standard,BankTransfer,202,1,1
186,37,42,Premium,BankTransfer,70,9,0
187,47,48,Premium,BankTransfer,94,4,1
188,28,7,Basic,Cash,287,1,1
189,45,11,Premium,CreditCard,49,8,0
190,42,49,Standard,Cash,,5,1
191,56,30,Premium,BankTransfer,174,6,1
192,50,41,Standard,CreditCard,256,2,1
193,18,3,Standard,Cash,294,9,1
194,44,40,Premium,Cash,21,6,0
195,69,51,Premium,CreditCard,49,3,1
196,30,32,Standard,Cash,39,7,1
197,58,48,Standard,BankTransfer,236,8,0
198,20,71,Standard,Cash,229,4,1
199,56,71,Premium,Cash,269,2,0
200,23,20,Basic,BankTransfer,,5,0
201,25,35,Premium,BankTransfer,251,2,0
202,44,24,Basic,Cash,228,5,0
203,26,40,Basic,BankTransfer,25,6,0
204,54,52,Premium,CreditCard,156,5,1
205,50,39,Basic,CreditCard,155,3,1
206,68,68,Standard,BankTransfer,227,6,0
207,59,61,Premium,BankTransfer,160,1,1
208,61,65,Basic,CreditCard,20,4,0
209,41,62,Standard,CreditCard,48,5,1
210,32,2,Basic,Cash,,5,0
211,49,6,Basic,Cash,161,4,0
212,49,43,Standard,Cash,13,9,0
213,41,40,Standard,Cash,202,4,0
214,58,39,Premium,CreditCard,111,7,1
215,69,28,Basic,CreditCard,193,4,1
216,66,63,Premium,CreditCard,94,5,0
217,66,64,Premium,BankTransfer,162,9,1
218,69,12,Basic,CreditCard,259,0,0
219,29,41,Basic,BankTransfer,59,0,0
220,56,29,Premium,BankTransfer,,0,0
221,19,23,Standard,BankTransfer,271,3,1
222,20,51,Premium,Cash,207,2,1
223,66,45,Basic,BankTransfer,223,4,1
224,54,22,Standard,CreditCard,280,6,0
225,66,10,Premium,CreditCard,127,5,1
226,34,7,Basic,CreditCard,298,2,1
227,66,15,Standard,CreditCard,296,1,1
228,19,46,Standard,CreditCard,43,1,0
229,19,61,Standard,CreditCard,41,2,1
230,45,61,Basic,BankTransfer,,9,1
231,40,51,Premium,CreditCard,111,2,1
232,54,38,Basic,BankTransfer,78,2,1
233,49,12,Basic,Cash,49,7,0
234,50,66,Standard,CreditCard,40,2,1
235,18,54,Premium,Cash,279,5,1
236,36,39,Standard,Cash,197,8,0
237,19,39,Basic,Cash,124,7,1
238,61,30,Standard,CreditCard,234,5,1
239,43,48,Basic,BankTransfer,99,9,0
240,49,31,Basic,Cash,,4,1
241,23,25,Basic,CreditCard,44,4,1
242,49,68,Standard,BankTransfer,36,7,0
243,21,51,Premium,Cash,142,6,0
244,28,13,Standard,CreditCard,84,4,0
245,34,63,Basic,BankTransfer,240,9,1
246,55,42,Standard,BankTransfer,101,5,1
247,41,54,Basic,CreditCard,205,4,0
248,22,67,Premium,Cash,219,8,1
249,69,56,Premium,CreditCard,128,5,0
250,51,19,Basic,Cash,,2,0
251,23,46,Premium,CreditCard,25,2,1
252,39,15,Basic,BankTransfer,126,9,0
253,28,32,Standard,BankTransfer,199,9,0
254,65,49,Standard,BankTransfer,116,3,1
255,33,21,Premium,BankTransfer,165,4,1
256,50,65,Premium,BankTransfer,25,8,1
257,26,70,Basic,CreditCard,38,9,0
258,23,27,Premium,CreditCard,209,1,1
259,33,23,Premium,CreditCard,203,1,1
260,46,47,Premium,Cash,,0,0
261,20,12,Basic,Cash,161,7,0
262,37,66,Standard,BankTransfer,72,0,1
263,53,5,Basic,BankTransfer,279,5,0
264,36,9,Basic,BankTransfer,135,1,1
265,43,20,Premium,Cash,181,8,0
266,20,63,Standard,Cash,180,3,1
267,36,71,Basic,CreditCard,138,9,0
268,37,30,Premium,Cash,137,4,1
269,49,16,Basic,BankTransfer,148,1,0
270,24,5,Premium,CreditCard,,4,0
271,69,29,Standard,Cash,258,6,0
272,58,47,Standard,CreditCard,88,4,1
273,50,22,Premium,Cash,229,0,1
274,57,57,Basic,Cash,96,8,0
275,56,35,Basic,Cash,126,1,0
276,35,60,Standard,BankTransfer,154,3,0
277,57,70,Basic,Cash,115,5,0
278,18,60,Premium,BankTransfer,88,0,0
279,28,58,Premium,CreditCard,245,8,1
280,45,3,Premium,Cash,,8,1
281,42,34,Standard,BankTransfer,115,7,0
282,67,45,Standard,BankTransfer,106,8,1
283,40,50,Standard,CreditCard,45,3,1
284,48,2,Premium,CreditCard,110,8,0
285,47,15,Standard,CreditCard,58,3,0
286,59,37,Premium,Cash,225,4,1
287,52,15,Basic,Cash,98,5,0
288,24,60,Standard,CreditCard,18,6,1
289,33,64,Basic,Cash,100,2,1
290,43,52,Basic,BankTransfer,,1,0
291,65,23,Standard,BankTransfer,295,4,0
292,69,37,Standard,Cash,152,9,0
293,66,41,Basic,Cash,221,2,0
294,19,57,Basic,BankTransfer,299,2,0
295,18,25,Basic,BankTransfer,129,6,1
296,65,37,Premium,Cash,70,5,1
297,29,40,Basic,Cash,195,2,1
298,22,46,Premium,CreditCard,101,6,1
299,54,60,Standard,CreditCard,240,9,0
300,49,19,Basic,Cash,,9,1
301,26,9,Standard,BankTransfer,148,5,0
302,58,69,Basic,Cash,273,0,1
303,52,5,Standard,BankTransfer,299,4,1
304,36,26,Basic,Cash,292,3,1
305,65,19,Premium,Cash,159,2,0
306,33,30,Standard,BankTransfer,199,2,1
307,20,48,Standard,BankTransfer,81,7,0
308,37,16,Basic,Cash,48,2,1
309,41,71,Premium,BankTransfer,82,1,1
310,50,18,Premium,BankTransfer,,4,0
311,41,56,Premium,Cash,210,9,1
312,69,21,Basic,CreditCard,40,2,0
313,28,31,Standard,CreditCard,299,9,1
314,66,1,Basic,BankTransfer,87,2,0
315,25,3,Premium,Cash,273,7,1
316,53,25,Premium,BankTransfer,223,8,0
317,55,8,Standard,Cash,63,1,1
318,57,65,Basic,CreditCard,79,0,1
319,37,62,Basic,CreditCard,106,7,1
320,52,7,Premium,CreditCard,,9,0
321,65,7,Standard,BankTransfer,145,9,0
322,42,8,Standard,CreditCard,144,5,0
323,52,19,Premium,CreditCard,45,8,0
324,42,17,Basic,BankTransfer,60,0,0
325,46,11,Basic,Cash,296,4,1
326,35,49,Standard,CreditCard,147,4,0
327,63,11,Standard,Cash,93,2,0
328,35,41,Premium,Cash,252,1,1
329,19,62,Standard,BankTransfer,231,8,0
330,52,52,Basic,Cash,,6,1
331,33,66,Basic,Cash,129,8,1
332,58,68,Standard,BankTransfer,250,2,0
333,53,67,Premium,Cash,77,0,1
334,50,40,Basic,CreditCard,282,1,0
335,21,5,Basic,BankTransfer,105,5,0
336,50,22,Premium,BankTransfer,234,5,1
337,31,37,Standard,BankTransfer,46,1,1
338,38,11,Basic,CreditCard,232,8,1
339,65,44,Basic,Cash,232,9,0
340,37,53,Premium,Cash,,0,0
341,25,61,Standard,Cash,263,3,1
342,24,67,Premium,CreditCard,175,3,1
343,20,13,Premium,Cash,245,0,1
344,34,11,Standard,Cash,129,4,0
345,50,11,Basic,CreditCard,147,5,0
346,65,7,Premium,CreditCard,237,8,0
347,29,17,Basic,Cash,92,7,0
348,68,48,Basic,CreditCard,37,3,1
349,39,14,Basic,CreditCard,206,5,0
350,39,63,Basic,CreditCard,,6,1
351,63,64,Premium,BankTransfer,131,5,1
352,47,65,Standard,BankTransfer,11,4,1
353,55,34,Basic,Cash,244,0,0
354,55,9,Basic,Cash,275,6,0
355,62,37,Basic,CreditCard,91,6,0
356,68,30,Standard,Cash,211,4,0
357,25,41,Basic,BankTransfer,297,8,0
358,44,45,Standard,Cash,190,2,1
359,44,47,Premium,Cash,12,0,0
360,51,7,Standard,BankTransfer,,4,0
361,38,14,Basic,BankTransfer,145,3,1
362,47,48,Premium,CreditCard,274,5,1
363,50,6,Standard,CreditCard,212,1,1
364,45,34,Basic,CreditCard,281,4,0
365,64,46,Premium,Cash,296,7,1
366,50,59,Premium,Cash,142,7,1
367,22,70,Standard,Cash,106,1,1
368,65,8,Basic,BankTransfer,103,2,0
369,36,24,Standard,Cash,103,8,0
370,21,67,Premium,BankTransfer,,6,1
371,52,4,Premium,Cash,25,8,0
372,66,1,Basic,Cash,220,3,1
373,34,34,Premium,BankTransfer,56,6,0
374,61,9,Basic,BankTransfer,108,6,0
375,45,63,Standard,BankTransfer,29,6,0
376,47,10,Premium,CreditCard,30,9,0
377,46,10,Premium,CreditCard,190,4,1
378,63,50,Basic,Cash,191,5,1
379,23,44,Basic,Cash,58,3,1
380,52,48,Standard,Cash,,8,0
381,58,6,Basic,CreditCard,32,3,1
382,54,24,Premium,Cash,117,8,0
383,41,58,Standard,BankTransfer,102,8,1
384,46,64,Standard,BankTransfer,174,4,1
385,66,56,Standard,CreditCard,33,8,0
386,63,12,Basic,BankTransfer,273,8,0
387,48,35,Basic,BankTransfer,245,2,0
388,52,71,Premium,Cash,116,2,0
389,50,6,Standard,BankTransfer,38,3,0
390,69,65,Standard,BankTransfer,,7,0
391,38,60,Standard,CreditCard,117,2,0
392,49,68,Premium,BankTransfer,82,1,1
393,40,29,Basic,BankTransfer,159,5,1
394,50,38,Standard,Cash,275,2,1
395,20,22,Basic,Cash,93,8,0
396,35,8,Basic,Cash,100,9,1
397,42,63,Basic,CreditCard,111,8,1
398,59,13,Basic,Cash,275,9,1
399,48,27,Basic,BankTransfer,92,5,1
400,20,18,Premium,CreditCard,,4,1
401,57,18,Basic,BankTransfer,217,1,1
402,63,62,Standard,BankTransfer,255,7,1
403,41,14,Standard,Cash,270,2,0
404,67,11,Standard,CreditCard,204,4,0
405,49,17,Premium,CreditCard,161,9,1
406,64,51,Basic,Cash,168,3,0
407,39,14,Standard,CreditCard,127,2,0
408,40,57,Standard,BankTransfer,125,2,1
409,19,6,Standard,CreditCard,204,8,0
410,44,57,Basic,BankTransfer,,1,1
411,59,4,Standard,CreditCard,212,2,0
412,19,11,Basic,CreditCard,208,4,0
413,43,11,Standard,Cash,264,3,0
414,34,8,Standard,Cash,86,8,1
415,57,59,Basic,CreditCard,168,4,1
416,50,21,Standard,BankTransfer,61,9,1
417,26,65,Premium,Cash,187,4,0
418,60,24,Basic,Cash,278,6,1
419,65,30,Standard,Cash,122,3,0
420,56,57,Premium,CreditCard,,4,0
421,46,17,Premium,BankTransfer,175,0,1
422,59,59,Basic,BankTransfer,48,6,1
423,43,31,Standard,CreditCard,108,3,1
424,52,64,Basic,BankTransfer,176,1,0
425,67,48,Premium,Cash,51,6,1
426,42,23,Premium,BankTransfer,114,7,0
427,41,70,Basic,Cash,256,8,0
428,30,30,Basic,Cash,205,7,1
429,24,55,Standard,CreditCard,162,7,1
430,53,7,Premium,Cash,,7,0
431,62,12,Basic,BankTransfer,194,6,0
432,37,60,Premium,BankTransfer,212,1,1
433,18,52,Basic,BankTransfer,274,1,1
434,25,27,Standard,BankTransfer,172,8,0
435,63,12,Premium,BankTransfer,292,0,1
436,33,13,Standard,Cash,132,0,0
437,31,62,Standard,CreditCard,246,6,0
438,29,29,Premium,CreditCard,101,9,0
439,68,35,Basic,BankTransfer,70,5,1
440,40,60,Standard,Cash,,5,0
441,32,29,Standard,CreditCard,101,7,0
442,45,31,Premium,BankTransfer,243,3,1
443,51,61,Premium,Cash,28,4,0
444,19,2,Premium,CreditCard,285,4,0
445,49,33,Standard,Cash,239,5,1
446,40,62,Basic,BankTransfer,127,0,1
447,39,59,Basic,Cash,246,3,1
448,68,40,Premium,CreditCard,188,2,1
449,42,49,Standard,CreditCard,147,6,1
450,39,32,Standard,Cash,,0,1
451,39,38,Standard,CreditCard,251,1,1
452,66,13,Premium,Cash,257,7,1
453,69,54,Standard,Cash,63,1,0
454,59,13,Standard,BankTransfer,25,8,0
455,23,39,Basic,BankTransfer,59,3,1
456,32,23,Premium,Cash,291,2,0
457,60,14,Premium,CreditCard,296,3,0
458,54,17,Premium,BankTransfer,198,8,1
459,50,24,Standard,CreditCard,10,6,1
460,25,58,Standard,Cash,,3,1
461,61,63,Basic,CreditCard,186,6,0
462,61,34,Premium,CreditCard,228,7,1
463,22,51,Standard,Cash,156,7,0
464,56,10,Basic,BankTransfer,217,5,1
465,21,21,Standard,BankTransfer,265,0,0
466,23,37,Standard,CreditCard,145,9,1
467,62,7,Premium,Cash,199,2,0
468,49,13,Premium,Cash,18,5,1
469,69,30,Standard,BankTransfer,272,0,1
470,47,31,Standard,Cash,,4,0
471,64,5,Standard,Cash,198,1,0
472,52,32,Standard,CreditCard,32,0,1
473,57,16,Standard,CreditCard,160,9,0
474,69,22,Premium,BankTransfer,249,2,0
475,33,64,Premium,BankTransfer,20,1,1
476,30,44,Standard,CreditCard,10,5,0
477,67,40,Standard,Cash,186,5,0
478,59,37,Premium,Cash,151,6,1
479,47,16,Standard,CreditCard,16,6,0
480,36,43,Premium,CreditCard,,4,0
481,34,63,Premium,CreditCard,33,2,1
482,36,15,Premium,CreditCard,240,5,0
483,45,44,Premium,Cash,248,2,0
484,43,9,Basic,Cash,164,4,1
485,54,65,Standard,BankTransfer,16,2,0
486,43,44,Standard,CreditCard,235,5,1
487,40,20,Standard,BankTransfer,113,3,1
488,26,70,Premium,Cash,112,8,0
489,29,33,Premium,BankTransfer,112,1,1
490,18,6,Premium,Cash,,6,0
491,18,31,Standard,Cash,195,4,0
492,64,66,Premium,BankTransfer,185,8,1
493,51,18,Basic,BankTransfer,14,9,0
494,49,28,Standard,CreditCard,19,4,1
495,65,68,Basic,Cash,231,4,1
496,42,65,Basic,CreditCard,82,1,1
497,57,45,Standard,CreditCard,183,2,1
498,62,58,Basic,Cash,41,5,0
499,18,47,Basic,BankTransfer,94,3,1
500,33,66,Premium,CreditCard,,2,0
501,56,52,Basic,CreditCard,64,4,1
502,22,36,Premium,Cash,145,8,0
503,39,1,Basic,BankTransfer,125,2,0
504,46,39,Standard,BankTransfer,65,6,1
505,20,1,Standard,CreditCard,252,8,0
506,29,14,Standard,Cash,247,3,0
507,43,71,Standard,CreditCard,65,6,1
508,33,23,Premium,BankTransfer,173,6,1
509,68,43,Basic,CreditCard,296,2,1
510,54,22,Basic,Cash,,0,0
511,39,60,Standard,CreditCard,109,3,0
512,46,27,Premium,BankTransfer,156,8,0
513,31,56,Premium,Cash,75,9,0
514,45,2,Standard,Cash,148,6,1
515,22,39,Basic,Cash,204,9,1
516,64,51,Standard,Cash,298,5,1
517,66,19,Basic,Cash,204,4,0
518,47,62,Standard,CreditCard,132,9,1
519,63,71,Basic,Cash,258,9,0
520,69,67,Premium,BankTransfer,,0,1
521,22,63,Standard,Cash,59,3,1
522,29,5,Basic,BankTransfer,293,2,0
523,33,61,Basic,BankTransfer,279,2,1
524,43,71,Basic,BankTransfer,101,0,0
525,43,7,Basic,BankTransfer,39,2,0
526,65,50,Premium,BankTransfer,167,9,1
527,38,46,Basic,CreditCard,130,9,1
528,56,14,Premium,BankTransfer,164,7,1
529,53,69,Basic,BankTransfer,75,3,0
530,50,65,Premium,BankTransfer,,6,0
531,47,65,Premium,CreditCard,293,1,0
532,54,57,Basic,Cash,93,6,0
533,40,62,Premium,BankTransfer,64,5,0
534,27,20,Standard,CreditCard,251,7,0
535,22,26,Basic,CreditCard,155,7,1
536,53,44,Standard,CreditCard,171,7,0
537,51,67,Premium,Cash,194,9,0
538,69,70,Premium,CreditCard,182,3,1
539,48,62,Standard,BankTransfer,90,8,1
540,27,45,Basic,BankTransfer,,7,0
541,36,11,Standard,BankTransfer,176,3,0
542,49,34,Premium,Cash,270,1,1
543,18,46,Basic,CreditCard,165,0,1
544,22,32,Standard,BankTransfer,126,1,0
545,62,5,Standard,BankTransfer,16,4,1
546,21,63,Basic,BankTransfer,255,4,0
547,33,29,Standard,Cash,239,9,0
548,41,48,Basic,BankTransfer,133,1,1
549,33,16,Basic,CreditCard,226,3,1
550,19,25,Standard,CreditCard,,7,1
551,66,29,Basic,Cash,126,0,0
552,45,52,Basic,Cash,248,1,0
553,49,46,Premium,Cash,99,1,1
554,44,25,Premium,CreditCard,285,4,1
555,37,23,Premium,Cash,11,1,0
556,41,34,Standard,Cash,295,7,1
557,29,67,Standard,CreditCard,159,2,1
558,67,34,Standard,BankTransfer,261,2,0
559,52,32,Standard,Cash,115,7,1
560,50,29,Basic,BankTransfer,,0,1
561,50,9,Basic,BankTransfer,134,3,1
562,68,66,Premium,BankTransfer,172,6,1
563,60,57,Basic,BankTransfer,206,4,1
564,54,39,Standard,Cash,24,2,1
565,29,7,Basic,Cash,37,7,1
566,20,69,Premium,Cash,21,4,0
567,18,8,Standard,CreditCard,204,5,0
568,50,18,Basic,CreditCard,275,0,0
569,57,49,Premium,BankTransfer,272,2,1
570,27,16,Basic,CreditCard,,9,0
571,60,21,Premium,BankTransfer,285,3,0
572,61,10,Premium,BankTransfer,250,9,0
573,46,4,Premium,Cash,254,9,1
574,30,44,Standard,Cash,37,3,1
575,29,8,Basic,CreditCard,213,4,0
576,48,55,Basic,Cash,283,8,1
577,63,19,Standard,CreditCard,46,3,0
578,19,64,Standard,Cash,263,6,0
579,68,40,Basic,Cash,114,7,1
580,67,51,Standard,CreditCard,,6,1
581,52,9,Standard,BankTransfer,109,1,0
582,40,30,Basic,CreditCard,256,0,0
583,34,56,Premium,Cash,53,4,1
584,43,44,Standard,BankTransfer,74,7,1
585,25,59,Basic,Cash,187,0,0
586,46,15,Basic,Cash,156,1,1
587,43,68,Basic,Cash,58,8,0
588,27,70,Standard,BankTransfer,76,5,1
589,43,61,Premium,Cash,55,0,0
590,51,23,Premium,CreditCard,,7,0
591,68,47,Basic,CreditCard,118,2,0
592,58,17,Standard,CreditCard,218,3,0
593,24,57,Standard,BankTransfer,216,9,1
594,21,54,Premium,CreditCard,92,4,0
595,67,52,Premium,Cash,295,8,0
596,62,22,Standard,BankTransfer,132,4,1
597,28,39,Premium,Cash,247,5,1
598,46,13,Basic,Cash,70,6,1
599,53,66,Premium,Cash,172,4,1
600,42,52,Standard,CreditCard,,4,1
601,38,14,Basic,CreditCard,75,1,1
602,53,63,Standard,BankTransfer,22,1,0
603,27,71,Premium,BankTransfer,69,5,0
604,54,28,Premium,CreditCard,116,9,1
605,26,46,Basic,CreditCard,274,5,0
606,41,28,Basic,Cash,117,9,1
607,52,2,Basic,CreditCard,186,5,1
608,66,17,Basic,Cash,277,2,1
609,52,59,Premium,CreditCard,244,8,0
610,65,52,Standard,Cash,,6,1
611,53,4,Premium,CreditCard,224,3,1
612,35,3,Premium,CreditCard,287,8,0
613,66,37,Basic,BankTransfer,99,3,1
614,56,24,Basic,BankTransfer,216,2,1
615,49,35,Standard,Cash,174,0,1
616,41,2,Standard,BankTransfer,50,3,1
617,40,33,Premium,BankTransfer,222,2,0
618,49,10,Standard,CreditCard,124,2,0
619,54,62,Basic,Cash,144,5,1
620,29,43,Basic,BankTransfer,,8,0
621,66,69,Basic,BankTransfer,12,0,1
622,30,59,Premium,CreditCard,48,8,0
623,40,9,Standard,CreditCard,242,1,0
624,42,60,Basic,CreditCard,177,2,1
625,52,63,Premium,Cash,288,8,0
626,58,52,Premium,CreditCard,233,7,1
627,47,23,Premium,Cash,15,8,1
628,34,30,Standard,CreditCard,286,7,0
629,66,43,Standard,BankTransfer,106,5,1
630,37,68,Standard,Cash,,9,1
631,65,21,Premium,CreditCard,291,8,1
632,42,43,Premium,CreditCard,264,2,0
633,39,7,Standard,BankTransfer,162,3,0
634,30,16,Basic,BankTransfer,223,0,1
635,36,23,Standard,BankTransfer,116,6,0
636,66,58,Premium,CreditCard,110,1,0
637,53,31,Premium,BankTransfer,122,0,0
638,29,69,Premium,BankTransfer,201,7,1
639,58,6,Premium,Cash,190,9,1
640,36,65,Premium,Cash,,8,0
641,29,59,Premium,Cash,38,3,0
642,26,28,Standard,CreditCard,113,8,1
643,24,18,Premium,Cash,104,2,1
